--faucet-sol argument ignored, ledger already exists
Ledger location: test-ledger
Log: test-ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: 4jv5GcfX2mcGU6ssJMTbwLKRymK9DymU1SkLRwSMidws
Genesis Hash: FUaMoAK7JpTcZNuZixY4rxEAS2PVTietZHNgH6ERLx5d
Version: 2.1.0
Shred Version: 23998
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:25 | Processed Slot: 132 | Confirmed Slot: 132 | Finalized Slot: 101 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 129 | ◎499.999355000
00:00:25 | Processed Slot: 133 | Confirmed Slot: 133 | Finalized Slot: 102 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 130 | ◎499.999350000
00:00:26 | Processed Slot: 134 | Confirmed Slot: 133 | Finalized Slot: 103 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 131 | ◎499.999350000
00:00:26 | Processed Slot: 134 | Confirmed Slot: 134 | Finalized Slot: 103 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 131 | ◎499.999345000
00:00:26 | Processed Slot: 135 | Confirmed Slot: 135 | Finalized Slot: 104 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 132 | ◎499.999340000
00:00:26 | Processed Slot: 135 | Confirmed Slot: 135 | Finalized Slot: 104 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 132 | ◎499.999340000
00:00:27 | Processed Slot: 136 | Confirmed Slot: 136 | Finalized Slot: 105 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 133 | ◎499.999335000
00:00:27 | Processed Slot: 136 | Confirmed Slot: 136 | Finalized Slot: 105 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 133 | ◎499.999335000
00:00:27 | Processed Slot: 137 | Confirmed Slot: 137 | Finalized Slot: 106 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 134 | ◎499.999330000
00:00:27 | Processed Slot: 137 | Confirmed Slot: 137 | Finalized Slot: 106 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 134 | ◎499.999330000
00:00:28 | Processed Slot: 138 | Confirmed Slot: 138 | Finalized Slot: 107 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 136 | ◎499.999330000
00:00:28 | Processed Slot: 138 | Confirmed Slot: 138 | Finalized Slot: 107 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 136 | ◎499.999330000
00:00:28 | Processed Slot: 139 | Confirmed Slot: 139 | Finalized Slot: 108 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 139 | ◎499.999330000
00:00:28 | Processed Slot: 140 | Confirmed Slot: 140 | Finalized Slot: 109 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 185 | ◎499.999437500
00:00:29 | Processed Slot: 140 | Confirmed Slot: 140 | Finalized Slot: 109 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 185 | ◎499.999437500
00:00:29 | Processed Slot: 141 | Confirmed Slot: 141 | Finalized Slot: 110 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 231 | ◎499.999545000
00:00:29 | Processed Slot: 141 | Confirmed Slot: 141 | Finalized Slot: 110 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 231 | ◎499.999545000
00:00:29 | Processed Slot: 142 | Confirmed Slot: 142 | Finalized Slot: 111 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 277 | ◎499.999652500
00:00:30 | Processed Slot: 142 | Confirmed Slot: 142 | Finalized Slot: 111 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 277 | ◎499.999652500
00:00:30 | Processed Slot: 143 | Confirmed Slot: 143 | Finalized Slot: 112 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 323 | ◎499.999760000
00:00:30 | Processed Slot: 144 | Confirmed Slot: 144 | Finalized Slot: 113 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 369 | ◎499.999867500
00:00:31 | Processed Slot: 144 | Confirmed Slot: 144 | Finalized Slot: 113 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 369 | ◎499.999867500
00:00:31 | Processed Slot: 144 | Confirmed Slot: 144 | Finalized Slot: 113 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 369 | ◎499.999867500
00:00:31 | Processed Slot: 145 | Confirmed Slot: 145 | Finalized Slot: 114 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 413 | ◎499.999970000
00:00:31 | Processed Slot: 146 | Confirmed Slot: 146 | Finalized Slot: 115 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 425 | ◎499.999992500
00:00:32 | Processed Slot: 146 | Confirmed Slot: 146 | Finalized Slot: 115 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 425 | ◎499.999992500
00:00:32 | Processed Slot: 147 | Confirmed Slot: 147 | Finalized Slot: 116 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 426 | ◎499.999987500
00:00:32 | Processed Slot: 147 | Confirmed Slot: 147 | Finalized Slot: 116 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 426 | ◎499.999987500
00:00:32 | Processed Slot: 148 | Confirmed Slot: 148 | Finalized Slot: 117 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 428 | ◎499.999987500
00:00:33 | Processed Slot: 148 | Confirmed Slot: 148 | Finalized Slot: 117 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 428 | ◎499.999987500
00:00:33 | Processed Slot: 149 | Confirmed Slot: 149 | Finalized Slot: 118 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 429 | ◎499.999982500
00:00:33 | Processed Slot: 149 | Confirmed Slot: 149 | Finalized Slot: 118 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 429 | ◎499.999982500
00:00:33 | Processed Slot: 150 | Confirmed Slot: 150 | Finalized Slot: 119 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 430 | ◎499.999977500
00:00:34 | Processed Slot: 150 | Confirmed Slot: 150 | Finalized Slot: 119 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 430 | ◎499.999977500
00:00:34 | Processed Slot: 151 | Confirmed Slot: 151 | Finalized Slot: 120 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 431 | ◎499.999972500
00:00:34 | Processed Slot: 151 | Confirmed Slot: 151 | Finalized Slot: 120 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 431 | ◎499.999972500
00:00:34 | Processed Slot: 152 | Confirmed Slot: 152 | Finalized Slot: 121 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 432 | ◎499.999967500
00:00:35 | Processed Slot: 152 | Confirmed Slot: 152 | Finalized Slot: 121 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 432 | ◎499.999967500
00:00:35 | Processed Slot: 153 | Confirmed Slot: 153 | Finalized Slot: 122 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 433 | ◎499.999962500
00:00:35 | Processed Slot: 154 | Confirmed Slot: 154 | Finalized Slot: 123 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 434 | ◎499.999957500
00:00:35 | Processed Slot: 154 | Confirmed Slot: 154 | Finalized Slot: 123 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 434 | ◎499.999957500
00:00:36 | Processed Slot: 155 | Confirmed Slot: 155 | Finalized Slot: 124 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 435 | ◎499.999952500
00:00:36 | Processed Slot: 155 | Confirmed Slot: 155 | Finalized Slot: 124 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 435 | ◎499.999952500
00:00:36 | Processed Slot: 156 | Confirmed Slot: 156 | Finalized Slot: 125 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 436 | ◎499.999947500
00:00:36 | Processed Slot: 156 | Confirmed Slot: 156 | Finalized Slot: 125 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 436 | ◎499.999947500
00:00:37 | Processed Slot: 157 | Confirmed Slot: 157 | Finalized Slot: 126 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 437 | ◎499.999942500
00:00:37 | Processed Slot: 157 | Confirmed Slot: 157 | Finalized Slot: 126 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 437 | ◎499.999942500
00:00:37 | Processed Slot: 158 | Confirmed Slot: 158 | Finalized Slot: 127 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 438 | ◎499.999937500
00:00:37 | Processed Slot: 159 | Confirmed Slot: 159 | Finalized Slot: 128 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 439 | ◎499.999932500
00:00:38 | Processed Slot: 159 | Confirmed Slot: 159 | Finalized Slot: 128 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 439 | ◎499.999932500
00:00:38 | Processed Slot: 160 | Confirmed Slot: 160 | Finalized Slot: 129 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 440 | ◎499.999927500
00:00:38 | Processed Slot: 160 | Confirmed Slot: 160 | Finalized Slot: 129 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 440 | ◎499.999927500
00:00:38 | Processed Slot: 161 | Confirmed Slot: 161 | Finalized Slot: 130 | Full Snapshot Slot: 101 | Incremental Snapshot Slot: - | Transactions: 441 | ◎499.999922500
